post_id,platform,content_type,category,creator_type,follower_count,account_age_days,hook_strength,relatability_score,thumbnail_quality,caption_length,hashtag_count,trending_audio,call_to_action,video_duration,post_time,day_of_week,emotion_trigger,views,likes,comments,shares,saves,impressions,reach,watch_time_avg,completion_rate,engagement_rate,first_3sec_retention,viral
13,TikTok,Post,Education,brand,2522,47,9,10,6,67,2,1,0,108,13,2,fear,27657,1462,603,361,959,53064,32825,16.48,0.15,0.122,1,1
14,Instagram,Reel,Meme,brand,290,437,10,7,9,45,19,1,1,69,7,6,fear,4061,245,101,29,102,7737,4755,4.41,0.06,0.117,1,1
15,TikTok,Reel,Education,influencer,1600,1745,10,6,6,110,32,0,1,12,20,4,inspiration,3790,142,45,69,90,9356,6610,8.37,0.7,0.091,1,1
16,Instagram,Video,Meme,influencer,14357,860,3,10,7,238,25,1,0,121,22,7,neutral,23175,1056,376,260,561,36243,31964,87.04,0.72,0.097,0.5,0
17,Instagram,Reel,Education,brand,5249,819,7,3,10,153,36,0,1,90,13,4,neutral,3272,350,124,55,27,4663,3140,45.26,0.5,0.17,0.84,0
18,YouTube,Reel,Meme,brand,34496,1890,4,2,4,232,9,1,1,151,0,5,neutral,20229,2325,966,539,551,39353,21699,121.34,0.8,0.217,0.6,0
19,YouTube,Post,Meme,individual,6135,1321,3,1,1,177,9,0,1,47,11,5,funny,2548,80,35,56,19,3134,2588,16.35,0.35,0.075,0.55,0
20,YouTube,Short,Tech,influencer,1172,1554,2,8,4,226,20,1,1,168,9,5,neutral,4478,533,118,64,144,10370,6964,58.57,0.35,0.192,0.48,1
21,TikTok,Video,Meme,individual,10281,902,1,1,4,226,21,0,1,145,18,1,funny,14745,1566,356,426,422,19290,10352,71,0.49,0.188,0.25,0
22,Instagram,Video,Tech,brand,16079,1522,4,5,7,153,38,0,0,113,20,2,inspiration,76115,2666,3005,1419,2260,174155,147465,109.52,0.97,0.123,0.61,1
23,YouTube,Post,Meme,brand,2023,1221,10,9,2,292,1,1,0,9,4,6,funny,11651,738,495,334,460,15245,12361,7.27,0.81,0.174,1,1
24,TikTok,Video,Entertainment,brand,140,1911,3,7,3,182,12,1,1,130,19,4,funny,6315,612,235,69,120,11915,8037,63.15,0.49,0.164,0.32,1
25,TikTok,Reel,Education,brand,173,109,6,5,5,173,34,1,0,151,19,1,curiosity,2980,275,83,61,75,4664,4105,136.27,0.9,0.166,0.61,1
26,TikTok,Short,Tech,brand,2524,697,5,8,10,173,25,1,0,140,17,4,curiosity,13444,1596,509,247,212,18974,16400,114.3,0.82,0.191,0.71,1
27,TikTok,Video,Tech,individual,9071,479,10,8,2,260,4,0,1,123,23,1,inspiration,37240,4419,933,884,698,47762,24584,102.33,0.83,0.186,1,1
28,YouTube,Reel,Tech,individual,4138,738,5,6,3,32,36,1,0,57,4,2,neutral,6726,474,102,194,176,13475,8667,14.58,0.26,0.141,0.7,0
29,YouTube,Post,Education,brand,4907,703,6,6,3,277,0,1,1,58,11,5,fear,4055,336,118,62,131,9626,7189,37.8,0.65,0.16,0.84,0
30,Instagram,Short,Education,influencer,3232,1903,3,2,4,258,37,1,0,83,22,2,funny,14732,636,693,254,206,27112,17121,39.19,0.47,0.121,0.59,1
31,YouTube,Post,Tech,influencer,421,1936,9,7,7,104,10,1,1,122,15,4,fear,1565,173,45,33,17,2221,1357,25.07,0.21,0.171,0.91,1
32,TikTok,Post,Meme,influencer,2538,375,2,1,10,82,25,1,1,51,21,7,fear,52965,1880,1116,1332,1651,89066,61794,11.04,0.22,0.113,0.26,1
33,TikTok,Post,Meme,brand,307,1269,2,10,8,16,2,1,0,115,22,6,inspiration,1409,152,34,21,12,2723,2277,85.33,0.74,0.155,0.25,1
34,YouTube,Post,Meme,influencer,3337,566,1,4,9,77,9,0,1,71,8,5,curiosity,3576,344,115,70,88,8473,6295,28.14,0.4,0.173,0.2,0
35,Instagram,Reel,Tech,influencer,2931,1794,9,1,5,159,20,1,1,74,22,4,funny,2837,290,34,73,19,7082,6080,3.31,0.04,0.147,1,0
36,TikTok,Post,Entertainment,brand,9859,1900,6,6,1,103,37,1,1,66,1,7,fear,16992,1792,309,496,507,32094,25126,14.77,0.22,0.183,0.82,0
37,TikTok,Post,Education,individual,2164,1947,4,3,1,187,9,0,0,9,22,2,fear,4723,485,95,104,149,8196,5241,6.17,0.69,0.176,0.54,1
38,Instagram,Video,Motivation,brand,3845,617,3,3,1,69,28,0,1,76,10,1,fear,6026,628,105,65,163,11839,9153,69.18,0.91,0.159,0.39,0
39,Instagram,Reel,Tech,influencer,42555,829,3,6,1,32,14,1,1,157,16,1,funny,41478,1493,794,770,833,87179,49403,53.59,0.34,0.094,0.52,0
40,YouTube,Short,Entertainment,individual,2924,507,7,4,6,106,36,0,0,159,22,1,funny,4723,465,212,64,159,6450,4250,19.37,0.12,0.191,0.95,0
41,TikTok,Reel,Meme,brand,1530,76,4,2,3,252,35,0,1,40,10,3,funny,2044,228,68,30,43,4010,2816,38,0.95,0.181,0.45,0
42,Instagram,Reel,Motivation,brand,2198,857,4,4,5,136,27,0,0,35,8,6,neutral,876,92,40,7,11,2004,1268,7.46,0.21,0.171,0.46,0
43,YouTube,Post,Education,individual,612,1964,5,9,5,146,9,1,0,61,20,2,funny,1428,111,66,19,24,2130,1450,45.51,0.75,0.154,0.64,1
44,Instagram,Short,Meme,influencer,2061,1233,6,5,8,170,28,0,1,67,10,6,funny,1901,145,93,31,46,2737,1696,57.94,0.86,0.166,0.76,0
45,TikTok,Post,Tech,influencer,807,464,8,3,1,295,15,0,0,172,18,2,neutral,1148,88,36,19,25,1876,994,132.11,0.77,0.146,0.83,0
46,Instagram,Short,Entertainment,influencer,860,1931,2,1,7,64,27,1,1,36,17,7,funny,1906,95,36,41,10,2729,2077,5.54,0.15,0.095,0.44,1
47,YouTube,Post,Entertainment,influencer,1761,125,8,8,4,174,20,1,0,146,22,2,neutral,1061,51,11,10,26,2400,1528,62.69,0.43,0.092,1,0
48,YouTube,Short,Tech,brand,1036,500,7,4,5,265,29,0,0,141,1,5,curiosity,3020,298,47,80,66,5293,2694,126.34,0.9,0.163,0.94,1
49,Instagram,Short,Entertainment,individual,4730,266,9,7,9,255,21,1,1,8,12,2,inspiration,1643,184,24,31,23,3743,2180,5.33,0.67,0.159,1,0
50,Instagram,Reel,Motivation,individual,33887,850,7,10,1,199,1,0,0,58,10,1,curiosity,33435,1741,854,408,583,64741,44698,42.27,0.73,0.107,0.79,0
51,YouTube,Video,Motivation,influencer,6247,98,8,1,10,45,19,0,0,85,12,3,curiosity,10614,420,138,246,237,16136,13354,59.14,0.7,0.098,0.93,0
52,YouTube,Video,Motivation,brand,7697,1531,6,2,3,110,16,1,1,78,22,1,neutral,10444,1133,410,262,293,15922,11078,54.61,0.7,0.201,0.85,0
53,YouTube,Post,Tech,influencer,5678,1972,10,5,6,259,6,0,1,18,14,5,inspiration,10475,422,281,260,325,19684,14916,2.88,0.16,0.123,1,0
54,TikTok,Reel,Meme,influencer,440,649,2,3,5,180,39,1,1,112,6,7,neutral,3571,319,141,64,71,6429,5761,98.43,0.88,0.167,0.33,1
55,YouTube,Video,Entertainment,individual,7795,1944,7,4,1,254,15,1,1,125,9,6,curiosity,11142,1073,217,86,194,16754,8659,37.33,0.3,0.141,0.79,0
56,Instagram,Reel,Tech,brand,163,1397,4,10,5,70,36,0,1,175,5,7,fear,3123,225,107,28,123,6385,4744,42.08,0.24,0.155,0.68,1
57,YouTube,Reel,Motivation,brand,282,255,9,10,9,250,2,0,1,124,5,5,funny,7363,806,346,219,81,15497,8702,50.34,0.41,0.197,1,1
58,TikTok,Short,Education,individual,1302,1173,9,9,4,107,10,1,0,109,23,3,inspiration,4135,140,182,24,68,6474,3891,101.68,0.93,0.1,1,1
59,TikTok,Reel,Motivation,influencer,3191,66,5,1,2,49,31,0,1,66,18,2,curiosity,65525,5302,1355,1766,2156,152508,119466,44.14,0.67,0.161,0.76,1
60,YouTube,Short,Education,brand,6333,1223,4,6,7,142,30,0,1,27,9,2,inspiration,12645,1413,127,239,398,16556,10439,8.47,0.31,0.172,0.46,0
61,YouTube,Post,Motivation,individual,673,895,8,3,6,83,31,1,1,67,14,6,funny,5037,229,205,144,54,9145,4784,52.11,0.78,0.125,1,1
62,Instagram,Reel,Motivation,brand,61734,977,7,1,6,88,31,1,0,62,22,2,neutral,32286,3712,454,850,756,73997,59873,51.56,0.83,0.179,0.79,0
63,TikTok,Video,Education,individual,1441,1760,1,8,5,93,5,0,1,151,4,3,curiosity,1911,181,76,19,67,3464,2484,108.52,0.72,0.179,0.27,0
64,Instagram,Short,Education,influencer,1590,1658,5,8,2,208,2,1,0,97,11,5,inspiration,7994,373,227,40,207,15395,9086,59.69,0.62,0.106,0.57,1
65,TikTok,Short,Motivation,individual,5807,530,5,2,8,81,10,1,1,68,12,1,curiosity,2101,137,61,42,31,4651,2399,47.87,0.7,0.129,0.76,0
66,Instagram,Post,Meme,brand,698,430,9,6,6,101,19,0,1,165,9,2,funny,2187,82,52,12,16,4237,3287,66.7,0.4,0.074,0.94,1
67,Instagram,Short,Entertainment,individual,1265,916,1,8,3,132,5,0,0,13,5,1,neutral,2297,215,102,52,75,2995,2569,5.73,0.44,0.193,0.34,0
68,Instagram,Short,Entertainment,influencer,21506,439,3,9,10,23,10,0,1,16,22,4,fear,20389,1013,999,273,231,37671,27203,13.06,0.82,0.123,0.5,0
69,YouTube,Video,Entertainment,influencer,735,1405,8,9,3,211,34,1,1,97,21,7,curiosity,6013,274,291,92,208,13216,9276,61.73,0.64,0.144,1,1
70,Instagram,Reel,Entertainment,individual,12437,1670,4,10,5,237,1,1,0,83,1,4,funny,42260,3520,1964,433,1132,57940,45559,53.16,0.64,0.167,0.62,1
71,YouTube,Post,Entertainment,individual,4844,1034,9,6,8,240,24,1,0,88,1,7,inspiration,4601,539,93,98,75,11321,7715,68.52,0.78,0.175,0.94,0
72,YouTube,Short,Meme,brand,3345,1831,9,1,5,285,7,0,1,175,11,1,neutral,1417,90,48,19,33,2522,2132,137.25,0.78,0.134,1,0
73,TikTok,Post,Meme,brand,32080,1969,2,2,9,29,25,1,1,33,0,7,inspiration,49037,1861,693,961,1426,102573,51999,14.32,0.43,0.101,0.34,0
74,Instagram,Short,Entertainment,influencer,293,456,2,7,6,160,15,1,1,128,22,2,funny,3495,153,67,101,48,5894,2988,85.37,0.67,0.106,0.49,1
75,TikTok,Reel,Motivation,individual,8125,332,8,1,8,298,0,0,0,151,15,6,inspiration,7914,313,287,237,52,18455,15003,147.6,0.98,0.112,0.92,0
76,YouTube,Video,Entertainment,individual,33542,1377,2,6,4,111,18,0,0,86,12,1,funny,187703,7661,5965,965,3070,394947,258857,32.78,0.38,0.094,0.32,1
77,YouTube,Short,Meme,influencer,290,1550,3,6,10,276,34,1,1,114,13,2,neutral,1710,134,82,44,63,2383,1693,93.14,0.82,0.189,0.33,1
78,Instagram,Post,Tech,influencer,2380,72,7,6,2,30,22,0,0,111,22,7,curiosity,2617,232,65,25,56,5240,3716,23.21,0.21,0.144,0.75,0
79,Instagram,Post,Meme,brand,6526,1209,3,8,10,167,17,0,0,6,16,5,funny,8842,409,329,84,206,17131,10323,4.84,0.81,0.116,0.33,0
80,TikTok,Short,Tech,influencer,2894,1828,6,1,8,182,12,0,0,123,21,6,inspiration,7059,716,253,66,124,13578,8177,111.61,0.91,0.164,0.83,1
81,TikTok,Video,Entertainment,influencer,14835,1665,7,10,9,155,18,1,0,168,9,1,curiosity,21540,1102,964,362,511,32295,18811,31.62,0.19,0.136,0.79,0
82,YouTube,Short,Motivation,individual,407,1130,9,9,2,272,20,1,1,150,2,2,fear,4045,373,200,33,34,6295,3347,109.2,0.73,0.158,1,1
83,Instagram,Short,Education,individual,1245,1944,6,9,7,205,12,1,1,53,1,4,curiosity,2249,176,101,47,53,4656,4179,18.54,0.35,0.168,0.7,0
84,YouTube,Post,Motivation,individual,8454,383,7,4,8,159,35,0,1,81,14,1,fear,10465,712,448,52,162,17762,9732,79.52,0.98,0.131,0.84,0
85,YouTube,Video,Tech,individual,10915,350,9,5,4,240,31,1,0,165,20,4,curiosity,46167,1535,1021,534,812,88638,55151,16.29,0.1,0.085,1,1
86,YouTube,Short,Motivation,influencer,569,1249,2,7,6,152,21,0,1,64,4,4,neutral,780,31,33,11,27,1737,1080,55.82,0.87,0.131,0.44,0
87,Instagram,Post,Education,brand,2292,607,2,3,2,215,19,1,0,14,1,1,funny,42448,1805,1949,1092,683,87706,48124,13.43,0.96,0.13,0.45,1
88,TikTok,Video,Entertainment,brand,12409,1132,4,4,2,169,28,0,1,47,1,4,fear,50,4,0,0,1,79,53,35.94,0.76,0.1,0.59,0
89,Instagram,Video,Education,individual,1028,292,1,4,4,112,39,0,1,21,4,7,fear,960,85,42,22,31,1594,1132,9.69,0.46,0.188,0.3,0
90,TikTok,Post,Tech,brand,413,627,5,7,2,71,26,1,0,153,21,6,curiosity,3364,142,105,34,18,7542,6665,38.42,0.25,0.089,0.79,1
91,Instagram,Short,Tech,brand,671,729,5,4,7,126,25,1,0,38,19,4,fear,4471,381,198,66,171,9193,8063,6.79,0.18,0.183,0.53,1
92,Instagram,Short,Entertainment,individual,4855,261,5,7,2,273,21,0,1,83,16,4,funny,8897,351,440,143,59,18298,15019,5.08,0.06,0.112,0.72,0
93,YouTube,Video,Meme,individual,77,1980,4,4,3,37,4,0,0,9,21,2,funny,220,25,4,5,5,298,222,4.67,0.52,0.177,0.46,1
94,Instagram,Short,Education,influencer,7805,407,7,2,10,158,35,0,1,144,7,2,neutral,15655,1523,664,335,148,23357,15155,50.03,0.35,0.171,0.98,1
95,TikTok,Reel,Entertainment,brand,219,1014,2,6,4,222,31,1,0,178,16,5,funny,806,86,35,22,11,1849,1463,134.89,0.76,0.191,0.34,1
96,Instagram,Video,Motivation,influencer,8057,232,6,6,9,31,27,1,0,33,12,2,fear,10779,412,523,185,110,23559,18785,12.61,0.38,0.114,0.72,0
97,Instagram,Post,Entertainment,influencer,822,52,7,9,5,120,7,0,0,110,15,1,funny,6453,354,114,174,180,14581,10877,35.58,0.32,0.127,0.92,1
98,TikTok,Reel,Tech,individual,678,1446,4,4,6,243,25,1,1,62,21,4,curiosity,3934,457,97,51,40,9816,6354,20.34,0.33,0.164,0.66,1
99,TikTok,Post,Education,individual,39753,565,6,3,10,239,20,1,0,58,7,7,inspiration,17768,1101,742,130,454,22819,16703,28.93,0.5,0.137,0.79,0
100,TikTok,Reel,Meme,individual,48628,795,8,2,2,168,18,1,0,53,13,3,fear,44941,4522,1721,1110,1038,73103,49242,24.45,0.46,0.187,0.84,0
101,Instagram,Short,Meme,brand,2633,792,9,6,1,207,3,1,1,152,15,7,fear,2478,261,62,47,63,4051,2067,29.67,0.2,0.175,1,0
102,Instagram,Video,Entertainment,influencer,3682,1930,3,5,3,44,25,0,1,73,4,4,neutral,1371,100,21,9,41,2945,2374,37.25,0.51,0.125,0.43,0
103,TikTok,Reel,Motivation,influencer,5075,217,9,4,8,45,20,0,0,162,23,4,inspiration,1753,96,36,43,68,4028,2446,61.39,0.38,0.139,1,0
104,YouTube,Video,Education,brand,3869,1672,4,2,10,30,3,1,1,165,6,6,fear,7251,650,351,137,274,11153,8836,10.52,0.06,0.195,0.53,0
105,YouTube,Video,Tech,individual,563,1013,1,3,3,170,3,0,0,131,9,1,curiosity,2930,225,42,77,88,5586,2975,10.73,0.08,0.147,0.31,1
106,YouTube,Reel,Meme,individual,596,882,5,2,6,121,1,1,1,78,1,3,neutral,50,1,1,1,1,73,44,5.95,0.08,0.08,0.74,0
107,YouTube,Short,Meme,influencer,1445,1931,4,6,8,241,20,0,0,83,21,4,curiosity,2629,185,129,63,15,6262,4480,7.28,0.09,0.149,0.54,0
108,YouTube,Video,Entertainment,influencer,692,1489,7,9,2,206,10,0,1,16,9,4,neutral,2785,242,116,41,103,5861,4790,9.46,0.59,0.18,0.75,1
109,YouTube,Post,Education,brand,10411,288,2,8,6,229,0,1,1,12,4,4,funny,21711,2211,1057,573,197,53950,37449,9.4,0.78,0.186,0.3,1
110,Instagram,Post,Entertainment,individual,5173,1215,4,6,10,232,26,0,0,73,2,1,inspiration,3882,189,97,113,65,5217,4193,23.05,0.32,0.12,0.68,0
111,YouTube,Post,Motivation,influencer,406,1781,2,6,3,85,27,0,0,34,15,5,fear,441,41,11,12,13,778,568,8.12,0.24,0.175,0.38,0
112,YouTube,Video,Entertainment,influencer,9833,891,3,1,4,281,33,1,0,70,2,4,funny,20855,1855,1035,142,160,30869,19884,25.15,0.36,0.153,0.56,1
113,TikTok,Reel,Meme,individual,26553,489,1,7,9,261,12,1,0,119,0,6,neutral,40783,1630,1137,673,1437,100727,54824,65.96,0.55,0.12,0.21,0
114,TikTok,Reel,Meme,influencer,1335,885,10,6,7,159,18,0,0,114,18,3,funny,7206,227,349,166,112,16822,9168,94.89,0.83,0.119,1,1
115,Instagram,Post,Tech,individual,5171,965,1,9,1,98,13,0,0,57,2,1,fear,8922,306,411,234,253,12855,6833,34.63,0.61,0.135,0.37,0
116,Instagram,Reel,Entertainment,individual,8968,1723,3,2,5,264,20,0,1,73,15,4,inspiration,3363,324,104,19,119,4145,3223,6.59,0.09,0.168,0.59,0
117,TikTok,Video,Tech,individual,555,688,10,4,6,241,20,0,1,55,5,4,inspiration,2968,269,45,32,96,4609,3176,53.45,0.97,0.149,1,1
118,TikTok,Short,Education,individual,11617,1775,1,6,10,292,7,1,0,128,9,1,funny,20400,1754,587,330,440,47131,24498,76.45,0.6,0.152,0.26,0
119,Instagram,Post,Education,individual,4660,894,10,7,5,254,8,1,1,92,4,1,neutral,9559,583,289,256,212,13104,7992,65.2,0.71,0.14,1,1
120,YouTube,Video,Education,brand,377,1385,8,8,5,118,11,1,0,165,12,2,inspiration,1139,34,40,7,15,2383,1300,11.7,0.07,0.084,0.98,1
121,Instagram,Short,Tech,brand,855,623,5,3,8,93,32,0,1,80,18,7,curiosity,320,28,11,8,8,432,242,41.17,0.51,0.172,0.54,0
122,TikTok,Post,Tech,brand,5869,658,2,6,3,267,16,1,1,173,11,3,fear,3958,261,183,99,49,5096,3337,81.79,0.47,0.15,0.45,0
123,TikTok,Video,Entertainment,individual,1912,1482,7,9,5,131,29,0,1,112,1,3,fear,6024,592,84,164,32,10306,7320,42.71,0.38,0.145,0.71,1
124,YouTube,Short,Motivation,individual,445,36,4,5,8,202,19,0,1,23,9,4,funny,514,33,21,10,4,1179,863,19.79,0.86,0.132,0.56,0
125,Instagram,Video,Motivation,individual,729,1678,2,5,8,76,10,0,1,49,3,2,funny,362,23,5,2,11,857,468,23.55,0.48,0.113,0.29,0
126,TikTok,Video,Education,influencer,2591,1140,6,4,2,210,28,1,1,81,14,6,fear,4296,260,135,38,104,9810,6633,44.79,0.55,0.125,0.83,0
127,TikTok,Post,Meme,brand,604,1616,10,1,5,30,10,1,0,107,3,3,inspiration,1465,175,23,37,17,2330,1468,84.15,0.79,0.172,1,1
128,Instagram,Reel,Meme,individual,2242,1028,5,8,5,154,36,0,0,168,21,3,neutral,4888,410,117,80,30,6232,4812,125.81,0.75,0.13,0.66,1
129,YouTube,Short,Motivation,individual,1359,1635,1,3,3,163,31,1,1,74,22,2,funny,3506,282,96,70,130,8283,5652,28.08,0.38,0.165,0.32,1
130,YouTube,Short,Tech,individual,70652,1804,4,7,3,57,8,0,0,76,19,5,fear,41410,4570,517,1121,856,99561,50541,39.77,0.52,0.171,0.59,0
131,Instagram,Short,Motivation,individual,56139,712,3,6,10,135,20,1,0,173,23,3,fear,52050,1603,2597,1140,1769,112387,93692,52.38,0.3,0.137,0.3,0
132,YouTube,Video,Motivation,influencer,1138,1797,8,5,9,136,0,1,1,168,2,2,neutral,2127,202,45,47,12,4300,3142,52.82,0.31,0.144,0.96,0
133,TikTok,Post,Education,brand,1018,191,10,6,2,22,30,1,1,38,6,3,neutral,8896,591,411,115,192,21996,16307,10.14,0.27,0.147,1,1
134,YouTube,Post,Education,influencer,22948,755,1,7,7,41,9,1,0,14,3,6,neutral,6289,325,242,160,208,8714,7059,8.63,0.62,0.149,0.26,0
135,YouTube,Post,Meme,individual,2868,1343,2,8,2,136,10,0,1,109,11,1,curiosity,705,53,8,8,20,849,508,8.71,0.08,0.126,0.45,0
136,Instagram,Post,Education,brand,822,1704,9,1,3,146,26,1,0,166,11,4,neutral,8382,578,388,120,324,15439,10113,16.64,0.1,0.168,1,1
137,Instagram,Video,Tech,brand,25187,935,7,5,5,244,12,0,1,105,0,4,curiosity,23994,2758,498,405,652,44344,29003,104.95,1,0.18,0.73,0
138,YouTube,Reel,Education,influencer,2671,1549,2,3,9,22,17,1,1,145,3,7,curiosity,9204,996,360,195,302,15767,13753,109.83,0.76,0.201,0.21,1
139,YouTube,Video,Tech,individual,5209,355,5,8,6,74,35,1,0,25,10,3,fear,9879,991,313,74,287,22620,17728,7.56,0.3,0.169,0.77,0
140,Instagram,Video,Entertainment,brand,821,1833,6,4,8,38,24,0,1,126,5,1,inspiration,5234,521,161,153,49,11772,6452,4.1,0.03,0.169,0.83,1
141,YouTube,Short,Motivation,individual,12981,548,4,9,5,144,35,0,1,115,18,1,fear,15348,1297,332,156,158,37120,27517,103.64,0.9,0.127,0.61,0
142,TikTok,Video,Motivation,brand,1032,1993,10,4,10,113,8,0,0,123,4,4,neutral,8129,299,200,86,96,18011,13171,19.04,0.15,0.084,1,1
143,YouTube,Video,Meme,influencer,4858,1413,4,1,1,184,37,0,1,61,14,7,inspiration,2753,119,28,57,56,5199,3102,9.92,0.16,0.094,0.69,0
144,TikTok,Short,Meme,influencer,62032,482,6,6,6,219,13,1,1,50,12,7,neutral,36204,2537,664,226,1250,83628,49908,49.1,0.98,0.129,0.84,0
145,YouTube,Post,Entertainment,individual,271,1654,2,3,7,163,5,0,1,8,11,3,fear,1340,124,34,38,52,2954,1843,4.36,0.55,0.185,0.46,1
146,TikTok,Post,Education,influencer,2076,622,4,8,2,102,21,0,1,48,8,5,inspiration,572,64,10,11,7,1228,660,16.8,0.35,0.161,0.65,0
147,Instagram,Reel,Education,brand,1548,1504,10,4,9,257,26,1,0,38,18,1,neutral,3736,237,96,89,138,6217,5066,36.23,0.95,0.15,1,1
148,YouTube,Reel,Motivation,individual,5484,1144,2,4,1,123,0,1,0,62,12,4,inspiration,19620,1916,375,567,199,34546,27210,42.77,0.69,0.156,0.27,1
149,TikTok,Short,Entertainment,individual,163,617,10,3,3,118,6,0,1,51,22,7,curiosity,2516,248,108,68,60,3986,2939,12.02,0.24,0.192,1,1
150,YouTube,Short,Entertainment,influencer,3422,504,4,10,3,204,23,0,0,31,7,7,curiosity,5219,518,188,45,186,9147,4710,17.63,0.57,0.18,0.48,0
151,TikTok,Short,Motivation,influencer,5021,854,9,6,6,147,39,1,1,139,6,6,fear,73162,2536,1290,932,2239,159989,119008,89.77,0.65,0.096,1,1
152,TikTok,Reel,Tech,brand,828,1238,6,4,7,25,21,1,0,58,20,1,inspiration,1509,147,16,17,34,2756,1776,17.06,0.29,0.142,0.79,0
153,TikTok,Short,Entertainment,influencer,3702,1688,5,5,6,250,0,0,0,55,3,1,fear,11902,1103,459,196,443,27614,16834,38.81,0.71,0.185,0.72,1
154,TikTok,Reel,Entertainment,influencer,1334,1194,6,6,4,254,2,1,1,85,16,4,neutral,4544,360,102,77,103,5547,4508,34.14,0.4,0.141,0.87,1
155,Instagram,Short,Motivation,influencer,4376,1854,2,7,4,225,28,0,1,87,5,1,neutral,4257,292,95,72,38,10379,6130,83.73,0.96,0.117,0.41,0
156,TikTok,Reel,Education,individual,3947,1148,4,7,2,31,36,0,1,76,6,6,curiosity,8922,936,412,47,255,14042,8744,5.84,0.08,0.185,0.56,1
157,YouTube,Short,Meme,individual,19431,1150,5,9,5,127,32,0,0,66,17,1,curiosity,87568,4245,2211,2587,2843,193988,157927,48.94,0.74,0.136,0.53,1
158,TikTok,Post,Entertainment,individual,5634,390,9,8,10,71,28,0,0,21,1,6,inspiration,16742,1339,294,327,203,33268,23511,11.87,0.57,0.129,0.92,1
159,Instagram,Post,Education,brand,9082,1845,10,6,6,163,38,0,0,161,14,6,funny,9934,920,281,72,242,16741,12144,104.02,0.65,0.153,1,0
160,YouTube,Post,Meme,individual,55437,1379,9,4,2,74,18,0,1,158,9,5,fear,69958,7658,1266,1377,2066,85349,62575,108.1,0.68,0.177,1,0
161,TikTok,Short,Entertainment,individual,1824,1950,10,4,9,246,31,0,1,36,5,6,curiosity,543,37,7,12,20,958,756,16.76,0.47,0.14,1,0
162,Instagram,Post,Meme,individual,3052,1838,9,9,10,221,39,1,1,43,16,5,funny,12073,377,240,125,174,21690,17202,12.15,0.28,0.076,0.92,1
163,YouTube,Short,Entertainment,individual,33606,367,7,10,2,47,18,1,0,168,12,6,inspiration,63101,3331,3123,775,2017,141323,89520,72.96,0.43,0.147,0.76,0
164,TikTok,Video,Motivation,brand,1586,1623,6,10,8,123,36,1,1,83,17,2,funny,10699,897,193,211,206,15760,9651,40.03,0.48,0.141,0.61,1
165,YouTube,Video,Tech,brand,9008,1394,5,1,10,30,6,1,0,113,14,4,fear,13052,400,613,209,318,16962,14401,30.29,0.27,0.118,0.72,0
166,Instagram,Reel,Tech,individual,1423,596,5,4,10,186,38,0,1,84,0,1,inspiration,1950,155,58,19,68,4516,3609,57.51,0.68,0.154,0.75,0
